id,title,volume
lni13/26_MetacToolsforMuliti,Metacase Tools for Multidimensional Development of Information Systems,lni13
lni350/proceedings-04,,lni350
lni133/19,Machbarkeitsuntersuchung: Speicherung digitaler Daten auf Mikrofilm durch Standardtechnologien,lni133
lni308/313 DELFI2020_paper_53,Fertigkeiten erkennen und Interesse für Informatik wecken: Der Informatiktest von MINTFIT Hamburg,lni308
lni220/2257,"Network Analysis Tools for Online Communities: The Koblenz Network Collection J´erˆome Kunegis WeST – Institute for Web Science and Technologies University of Koblenz-Landau, 56070 Koblenz, Germany",lni220
lni194/287,"Erfassung von biometrischen 3D-Daten zur Identifikation von Individuen bei Nutztieren* Henry Stahl1), Kristina Schädler1), Eberhard Hartung2) 1)FB Technik, Institut Ma.Vi.Tec Machine Vision Technology Fachhochschule Westküste",lni194
lni307/A6-0,"Industrie 4.0 – Aktuelle Entwicklungen aus Sicht der Informatik Zusammenfassung aus der Sitzung SES-06 am Mittwoch, 30.09.2020",lni307
lni365/AKWI2025_fullpaper_10,,
lni26/GI-Proceedings.26-43,,
lni175/527,,
lni176/515,,
lni314/P1-2,,
lni65/GI-Proceedings.65-35,On Combining Business Process Integration and ETL Technologies,lni65
lni215/405,,
lni160/379,Ein Konzept zur organisationsübergreifenden Integration von IT-Systemen für die zivile Sicherheit,lni160
Modellierung_2022_WS/paper12 (3),,
lni293/proceedings-02,"H. Roßnagel et al. (Eds.): Open Identity Summit 2019, Lecture Notes in Informatics (LNI), Gesellschaft für Informatik, Bonn 2019 25 How to harmonise local and remote signing",lni293
lni110/227,Modellierungsansatz für ubiquitäre Applikationen Dipl.-Ing. Dirk Liekenbrock Dipl.-Inform. Andreas Nettsträter Fraunhofer-Institut Materialfluss und Logistik Joseph-von-Fraunhofer-Straße 2-4,lni110
lni368/infos2025_wi_1,"Concept Inventory zum Thema Maschinelles Lernen (CIML) Konzeption, Entwicklung und Evaluation",lni368
lni121/17,,
Modellierung_2022_WS/paper10,,
lni299/GIL_2020_Weller-von-Ahlefeld_343-348,,
lni90/GI-Proceedings-90-12,,
lni337/03_02_07_Steinert,"(Hrsg.): Lecture Notes in Informatics (LNI), Gesellschaft für Informatik, Bonn 2013 1 Möglichkeiten, Grenzen und Konzepte für eine digitalbasierte Täterbewertung im Bereich der §§ 174 – 184 Mirĳam Steinert1, Sabrina Herchel2 und Dirk Labudde3",lni337
lni177/267,,
lni33/GI-Proceedings.33-1,,
lni23/GI-Proceedings.23-3,,
lni82/GI-Proceedings-82-11,,
lni176/305,,
lni52/GI.-.Proceedings.52-4,Strategien und Werkzeuge zur Erstellung multimedialer Lehr-und Lernmaterialien auf Basis von XML,lni52
lni19/GI-Proceedings.19-103,,
lni154/354,,
lni300/B5-03,,
lni299/GIL_2020_Stoinescu_307-312,,
lni337/02_05_13_Kruse,"Herausgeber et al. (Hrsg.): Workshop KI-Bildung, Lecture Notes in Informatics (LNI), Gesellschaft für Informatik, Bonn 2023 1 Learning with ALeA: Tailored experiences through annotated course material",lni337
lni56/GI-Proceedings.56-1,eSarine -A Struts-based Webshop for Small and Medium-sized Enterprises,lni56
lni42/GI-Proceedings.42-10,EVALUATION FRAMEWORK FOR A MOBILE MARKETING APPLICATION IN 3 RD GENERATION NETWORKS,lni42
lni78/GI-Proceedings-78-9,,
lni122/118-122,Effizienzsteigerung im Systemtest von Steuergeräten Eine empirische Untersuchung,lni122
lni28/GI-Proceedings.28-15,,
lni220/1005,Umweltinformatik für eine Nachhaltige Entwicklung,lni220
Modellierung_2022_WS/paper12(1),,
lni163/84,,
lni314/N1-7,,
lni166/45,,
lni160/377,,
lni123/39,,
lni326/industrial_07,,
lni165/507,,
lni123/136,,
lni171/13,,
lni75/GI-Proceedings.75-10,,
lni28/GI-Proceedings.28-13,,
lni133/81,Innovation und Interoperabilität – zentrale Anforderungen der EU-Dienstleistungsrichtline?,lni133
lni221/160,,
lni352/Neuroth_et_al_Nachhaltiges_Forschungsdatenmanagement,,
lni337/06_01_06_Ahmad,,
