id,n_disagree,critical,checked
lni332/paper52,5,True,True
lni300/B5-01,2,False,False
lni1/12,4,True,False
lni350/proceedings-04,1,True,False
lni154/cd-1450,5,True,False
lni366/Kadi_et_al,4,True,False
lni360/B6-2,5,True,False
lni31/GI-Proceedings.31-10,3,True,False
lni220/2257,1,True,False
lni214/185,1,True,False
lni94/GI-Proceedings-94-1,3,True,False
lni373/B2-1,4,True,False
lni51/GI-Proceedings.51-108,5,True,False
lni176/91,2,False,False
lni55/GI-Proceedings.55-26,2,False,False
lni295/paper11_03,3,True,False
lni318/swm2021-04,1,False,False
lni360/B8-2,1,False,False
lni136/189,1,False,False
lni220/1821,3,True,False
